"","SRR2085160","SRR2085161","SRR2085162","SRR2085163","SRR2085164","SRR2085165"
"ENSG00000237613",1.43674240668265,2.77242041261349,5.08738568066425,0.823470054825933,0.903064401403125,0
"ENSG00000223972",2.87348481336529,1.84828027507566,3.05243140839855,0,3.6122576056125,1.90636858599387
"ENSG00000243485",1.43674240668265,1.84828027507566,5.08738568066425,0,1.80612880280625,0
"ENSG00000227232",627.856431720317,747.629371268105,748.863172193777,498.199383169689,658.333948622878,557.612811403208
"ENSG00000234711",0,0.924140137537831,1.01747713613285,1.64694010965187,1.80612880280625,4.76592146498468
"ENSG00000187961",883.596580109828,1505.42428404913,1471.2719388481,345.857423026892,436.18010587771,537.595941250272
"ENSG00000272512",35.9185601670662,61.9173892150347,87.5030337074251,8.23470054825933,43.34709126735,9.53184292996937
"ENSG00000188290",67.5268931140844,176.510766269726,110.905007838481,93.0521161953304,84.8880537318938,133.445801019571
"ENSG00000231702",2.87348481336529,3.69656055015132,4.0699085445314,1.64694010965187,1.80612880280625,0
"ENSG00000187583",298.842420589991,412.166501341873,316.435389337316,377.149285110277,609.56847094711,527.110914027306
"ENSG00000187642",156.604922328409,148.786562143591,102.765190749418,129.284798607671,168.873043062384,153.462671172507
"ENSG00000224969",7.18371203341324,6.46898096276482,7.12233995292995,0,0,0
"ENSG00000187608",741.359081848246,533.228859359329,370.361677552357,179.516471952053,275.434642427953,220.185571682292
"ENSG00000241180",0,7.39312110030265,5.08738568066425,0,0,0
"ENSG00000223764",938.192791563769,852.05720680988,919.799331064096,0,2.70919320420938,10.4850272229663
"ENSG00000187634",633.603401347047,524.911598121488,430.392828584195,0,5.41838640841875,5.71910575798162
"ENSG00000268179",0,3.69656055015132,6.1048628167971,0,0,0
"ENSG00000272438",63.2166658940365,97.0347144414723,120.062302063676,0,0,0
"ENSG00000230699",484.182191052052,800.305359107762,963.550847917809,0,5.41838640841875,0
"ENSG00000188976",10008.3476049513,9213.67717125218,9663.99783898981,8177.05764442151,4412.37266525567,6531.21877561501
"ENSG00000238009",50.2859842338927,36.9656055015132,57.9961967595724,10.7051107127371,12.6429016196438,14.297764394954
"ENSG00000228463",38.7920449804315,41.5863061892024,66.1360138486352,18.1163412061705,37.9287048589313,40.0337403058713
"ENSG00000237094",301.715905403356,400.152679553881,382.571403185951,228.101205186783,599.634762531675,461.341197810517
"ENSG00000230021",8.62045444009588,18.4828027507566,16.2796341781256,7.41123049343339,10.8367728168375,5.71910575798162
"ENSG00000237491",122.123104568025,130.303759392834,130.237073425005,47.7612631799041,51.4746708799781,25.7359759109173
"ENSG00000228794",887.906807329876,883.477971486167,1107.01512411254,377.972755165103,346.7767301388,429.886116141618
"ENSG00000233750",10.0571968467785,13.8621020630675,18.3145884503913,9.05817060308526,21.673545633675,19.0636858599387
"ENSG00000237683",104.882195687833,125.683058705145,103.782667885551,329.388021930373,1085.48341048656,689.152243836785
"ENSG00000268903",8.62045444009588,13.8621020630675,11.1922484974613,15.6459310416927,34.3164472533188,22.8764230319265
"ENSG00000239906",7.18371203341324,12.0138217879918,7.12233995292995,7.41123049343339,33.4133828519156,25.7359759109173
"ENSG00000241860",66.0901507074018,81.3243321033291,81.398170890628,93.0521161953304,388.317692603344,209.700544459326
"ENSG00000241670",15.8041664735091,12.9379619255296,4.0699085445314,39.5265626316448,28.8980608449,23.8296073249234
"ENSG00000250575",8.62045444009588,10.1655415129161,9.15729422519565,32.9388021930373,0,20.0168701529357
"ENSG00000233653",7.18371203341324,12.0138217879918,11.1922484974613,2.4704101644778,4.51532200701563,2.85955287899081
"ENSG00000236679",1.43674240668265,3.69656055015132,9.15729422519565,8.23470054825933,3.6122576056125,10.4850272229663
"ENSG00000231709",2.87348481336529,2.77242041261349,3.05243140839855,0,0,3.81273717198775
"ENSG00000225972",2159.42383724402,1170.88555426043,868.925474257454,2234.89772879758,971.697295909763,1939.73003624877
"ENSG00000225630",16243.809649954,14105.1509192399,13307.5834634815,11773.1513738464,23452.5825044392,15540.7167130221
"ENSG00000237973",41254.6214654855,35133.0356087757,27649.9411744102,42745.5070759593,48365.4201459472,43440.4209690424
"ENSG00000229344",734.175369814833,614.553191462658,423.270488631265,1404.01644347822,835.334571297891,837.848993544307
"ENSG00000240409",8.62045444009588,8.31726123784048,8.1398170890628,13.1755208772149,15.3520948238531,14.297764394954
"ENSG00000248527",24178.9379620623,21134.1608053527,16433.2732256817,23941.5683740092,21704.2498233227,22660.0501974162
"ENSG00000198744",1555.99202643731,1207.85115976195,774.300100597099,2246.42630956514,1338.34144287943,1623.27285097378
"ENSG00000229376",5.74696962673059,33.2690449513619,21.3670198587898,8.23470054825933,3.6122576056125,2.85955287899081
"ENSG00000224956",91.9515140276894,138.621020630675,138.376890514068,133.402148881801,232.087551160603,181.105015669418
"ENSG00000235373",56.0329538606232,80.4001919657913,56.9787196234396,50.2316733443819,198.674168308688,115.335299452629
"ENSG00000240618",12.9306816601438,24.0276435759836,24.4194512671884,8.23470054825933,46.0562844715594,27.6423444969112
"ENSG00000228327",84.7678019942762,108.124396091926,108.870053566215,43.6439129057744,100.240148555747,98.1779821786845
"ENSG00000230092",34.4818177603835,16.634522475681,10.1747713613285,9.88164065791119,10.8367728168375,12.3913958089602
"ENSG00000177757",51.7227266405753,50.8277075645807,46.8039482621111,5.76429038378153,15.3520948238531,17.1573172739449
"ENSG00000225880",50.2859842338927,48.0552871519672,64.1010595763695,36.232682412341,40.6378980631406,36.2210031338836
