"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","124/3293","226/8546",0.548672566371681,1.423916110602,5.11352845298057,3.38637429854856e-07,9.06506350688383e-06,5.67594720485467e-06,"810/5880/5567/3716/340061/148327/1021/355/5603/3105/2771/5829/8503/5331/5925/9138/3133/6891/10000/5530/2776/1499/3107/1388/1956/115004/6376/55970/3570/2791/3553/109/7132/3576/6714/3134/8717/107/1399/2773/3710/10488/9564/805/6093/387/6890/3135/578/113/5594/10681/7249/581/9586/8737/2788/6892/5604/3106/1432/3588/5743/2787/5879/3569/5332/7124/4790/7157/1398/2770/5747/1147/196883/5734/567/637/836/1026/5733/2768/9826/3685/3554/3709/2784/29110/54331/5291/1870/5600/10672/5534/163688/3708/1869/2923/9475/7422/54205/5290/51764/2786/6654/3661/5535/64764/2932/5608/90993/2790/4776/3579/91860/5881/23236/4773/5330/5295/6655/1029/7188/3690",124
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","117/3293","212/8546",0.55188679245283,1.4322576763747,5.04582396904203,4.83469156426066e-07,1.20176618883051e-05,7.52467032933801e-06,"4233/810/5880/7408/56288/1969/5154/64411/5228/56034/5603/5909/2771/5587/4254/8503/5331/25865/84552/3643/5217/60/71/7057/10000/2776/7424/1902/1499/1946/1950/136/57121/5908/3688/1956/2263/5216/109/5028/7094/6714/4804/107/5899/7423/10411/2250/1399/2773/6237/2533/1435/5898/9564/3479/805/7074/387/113/1945/5594/50855/2324/51196/5604/1432/5159/7410/1942/998/5879/260425/2902/2246/9855/5155/5332/1398/2770/1944/135/51735/2149/196883/9732/23094/51466/5291/5600/4301/163688/10451/5900/7422/11069/5290/5584/9223/23683/3683/5608/22808/7010/91860/3480/2264/1943/5881/26037/1436/23236/5330/5295/26291/4803/3690",117
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","157/3293","300/8546",0.523333333333333,1.35815568377366,4.99987340416469,5.53702457035246e-07,1.28458970032177e-05,8.04325674430147e-06,"4233/5058/5880/408/7048/5567/1969/5154/5228/7039/4137/2316/355/56034/3481/5603/4254/7042/3643/5924/2065/1846/374/1849/10000/5530/7424/1946/7040/1950/3552/2122/1847/9479/5908/1956/4909/2263/55970/5971/3553/9254/7132/776/4804/51776/8717/4293/6885/2069/22800/7423/5062/2250/1647/255189/1399/5601/3556/6237/5321/1435/1844/1850/782/3479/4791/3164/8912/6788/9048/1848/1945/5594/27092/11184/2324/6789/6195/2005/2323/409/4616/5602/5604/8986/1432/5159/1942/998/23542/5879/2246/1852/5155/27330/8491/7124/4790/7157/1398/7046/9448/783/1147/1944/781/8649/51295/627/836/2768/10912/3554/5623/6722/5600/4615/5921/5801/5534/7422/5922/7189/80824/6654/7867/55799/5535/23118/123745/5536/5608/7043/3727/22808/7010/9175/3480/10125/2264/5871/1943/5881/283748/6197/1436/1845/3305/4763/8605/929/8911/6655/26291/4803/11221",157
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","97/3293","170/8546",0.570588235294118,1.48079169718297,5.01315674788265,6.03274127672762e-07,1.31212122768826e-05,8.21564108080669e-06,"154810/87/51421/861/5567/7408/56288/4478/4627/10109/9076/81/84952/84552/60/71/27134/11346/7430/10097/113457/103910/1741/10095/23370/79784/10627/3993/3688/1365/4734/776/6714/1739/5601/8531/8189/10398/5516/3059/7074/6093/57180/387/9368/24146/150084/112714/912/50855/1740/5010/51422/5564/50848/5602/2017/9414/998/5879/10094/7846/5521/11149/51735/54566/9181/23513/57826/9073/1364/4301/100506658/79778/93643/10096/153562/9475/4637/57530/5584/9223/5581/79861/5522/92359/91862/10093/9080/10686/84790/5565/137075/154796/4629/7454/51807",97
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","65/3293","105/8546",0.619047619047619,1.60655358408167,4.95125245977947,9.26905253218335e-07,1.79591507588368e-05,1.12448403117944e-05,"29775/6850/10848/7128/1896/23586/958/3383/79092/128178/84433/5971/3553/5328/1459/7132/3576/5588/8717/6885/23085/1647/2920/8915/7099/2921/4791/2919/7185/330/8737/597/4616/257397/5743/142/7124/4790/114609/1147/148022/10912/3554/598/1457/329/4615/8792/4055/23643/7189/5336/1540/23118/7706/7535/4067/10673/283106/60401/55367/929/10913/29760/7188",65
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","64/3293","103/8546",0.621359223300971,1.61255266393261,4.95178578881425,9.28921590974317e-07,1.79591507588368e-05,1.12448403117944e-05,"87/1284/3918/2335/5567/81/8503/5331/3912/7042/3909/1282/2769/2776/7040/3914/1288/3553/3576/107/5275/2920/7099/2921/2774/1437/2919/284217/10319/7879/912/6317/5272/3908/3911/383/7414/3910/3569/5868/5332/7097/7124/4790/5747/9630/836/3554/5291/1277/5290/6318/7850/7043/1285/23236/3915/5330/929/5295/1278/1286/384/733",64
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","51/3293","78/8546",0.653846153846154,1.69686280922236,4.8949962393773,1.30574007935822e-06,2.39156604008768e-05,1.49744153145236e-05,"4233/857/26084/858/2335/10109/5829/8503/10801/60/71/10097/10095/1499/55964/3688/3678/1212/6464/391/1213/6714/1399/9564/3059/57180/387/2549/2017/998/5879/7414/10094/867/1398/5747/399694/23176/5291/10096/8976/5290/1496/8218/10093/3611/23157/26052/124404/1731/5295",51
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","71/3293","119/8546",0.596638655462185,1.54839779823256,4.76958820488306,2.14072676940605e-06,3.54957806095712e-05,2.22251257900219e-05,"4323/148327/355/5603/7128/8503/3659/3976/3383/1906/10000/153090/7424/1388/182/6376/3553/6868/7132/197259/8717/9021/6885/843/5601/1435/10488/83737/2920/79651/3726/6374/2921/1437/11035/6372/2919/6364/7185/5594/330/9586/8737/5602/5604/8986/1432/257397/5743/8809/3569/7124/4790/1147/4318/836/329/1051/5291/5600/83786/5290/1540/64764/23118/5608/90993/3600/602/5295/7188",71
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","124/3293","232/8546",0.53448275862069,1.3870906939485,4.73260122069806,2.1419867609224e-06,3.54957806095712e-05,2.22251257900219e-05,"87/3675/5058/3696/3691/5880/2335/5154/7114/624/4478/4627/10109/56924/106821730/56034/81/3673/3693/5829/8503/2934/5217/8826/9138/51571/60/71/3694/2245/3655/7430/10097/10000/103910/10095/1902/1950/79784/10627/57121/3688/1956/3678/2263/55970/5216/6714/8874/221178/10298/22800/5062/2250/1399/3676/6237/54434/10398/79837/9564/7074/6093/3985/57180/387/54961/26999/5594/3672/10788/54776/5604/5159/7410/998/5879/7414/2246/10094/5155/1398/5747/1131/623/2149/28984/2768/28964/3685/5291/5499/1128/10672/10152/10096/9475/10451/8976/10787/5290/6654/6548/3683/50649/1072/10093/4660/22808/22801/1730/3681/3695/2264/89846/5881/81624/4636/5295/4629/6655/26291/3690/733",124
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","49/3293","77/8546",0.636363636363636,1.65149214587417,4.54659928222302,6.64770166722642e-06,9.90952535340256e-05,6.2046937330742e-05,"4088/5880/7048/3716/7039/1021/8503/7042/5925/10000/7040/1950/1956/5337/10928/5899/1647/5601/5898/578/5594/581/4616/5602/5604/998/5879/4790/7157/7046/1147/1643/1026/4087/10912/598/572/5291/1870/1869/4089/5900/7422/5290/7043/5338/5881/5295/1029",49
