"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","90/3293","170/8546",0.529411764705882,1.37393044068523,3.89892737945204,8.2794349957837e-05,0.000720310844633181,0.000451011327401901,"4233/4088/7048/7039/1021/119391/7476/3481/2950/8503/7042/5925/60/71/7480/83439/8322/9446/10000/1499/7040/1956/8313/6464/6932/6602/1647/2946/81029/2948/578/6599/7015/23401/5594/581/2549/4616/11211/5604/7477/4259/196528/8326/7157/7473/7046/7474/399694/4780/2947/8323/1643/29117/1026/4087/10912/598/572/4258/5291/1870/1869/7479/4089/8321/2938/2939/5336/6595/10023/5290/10587/2944/6654/8312/2932/1728/7043/7855/6934/3480/6604/9817/8324/8325/5295/8193/6655/1029",90
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","85/3293","160/8546",0.53125,1.37870103249317,3.82848764546173,0.000110214943661703,0.000935482936445675,0.000585737954761811,"3696/6382/6385/9076/3105/57502/84189/958/3133/3383/3655/3897/3107/1272/5819/1002/5817/1462/3688/1365/1001/83692/5818/4756/4897/80380/3134/22871/3676/3135/23705/2734/24146/3112/5010/3385/50848/5802/3106/3384/8506/22829/3115/29126/9369/3109/4359/965/1000/3685/9378/6404/9073/1364/100506658/1013/9672/4685/64115/6383/257194/942/23114/3683/3123/64101/3108/5789/3695/3119/9080/10686/933/925/23308/102723996/22865/137075/79679/3111/54413/26047/10666/6900/90952",85
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","39/3293","63/8546",0.619047619047619,1.60655358408167,3.82571763608825,0.000138808711862326,0.00115012932685927,0.000720135422443647,"7476/7480/83439/8322/1499/8313/8643/6932/1647/650/81029/578/581/652/4616/11211/7477/51684/8326/7157/7473/7474/8323/1643/5727/1026/10912/7479/64399/8321/8312/2932/7855/6934/374654/8324/8325/2735/6608",39
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","44/3293","75/8546",0.586666666666667,1.52251847352971,3.59843066240309,0.000308169201062921,0.00249402051092783,0.00156159178996389,"2810/3732/5268/1021/355/10848/64065/9540/7057/25946/5054/317/84883/894/1647/3479/983/7161/143686/7249/581/5366/63970/4616/900/25898/8493/7157/8797/8795/1643/637/836/1026/10912/598/64393/27244/54205/4194/896/55367/1029/9134",44
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","71/3293","133/8546",0.533834586466165,1.38540855631335,3.54666301875243,0.00032608052266126,0.00257900049741178,0.00161480067442299,"4088/7048/5603/9454/8503/3667/7042/3643/8660/10000/1030/1263/7040/1950/1956/26260/2308/10769/3575/6446/894/604/1647/5601/1901/3479/10018/5594/6789/1454/51422/5564/5896/4616/5602/5604/1432/1027/100132074/23678/3569/7046/1147/11337/114907/1026/9455/8743/10912/2290/5291/5600/80854/10110/4089/11067/5290/6654/664/4303/7043/3480/85417/5565/1032/847/6517/5295/6655/10365/116986",71
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","63/3293","116/8546",0.543103448275862,1.40946312449606,3.51542795432649,0.000375121165694935,0.0029009370147075,0.00181637617073337,"87/5880/7408/4478/9076/5603/2771/81/5829/8503/60/71/3383/4313/7430/103910/1499/10627/5908/3688/1365/1535/83692/10411/2773/3676/10398/9564/6093/387/24146/4688/5010/50848/1432/7410/998/5879/7414/2770/5747/4318/9073/5291/1364/5600/4301/7070/100506658/9475/10451/11069/5336/5290/1496/3683/9080/10686/4636/137075/5295/394/90952",63
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","55/3293","99/8546",0.555555555555556,1.44177885750919,3.5004145180274,0.000409473834845288,0.00302758340440082,0.00189567381945242,"810/5567/624/5603/8503/5331/3269/5029/2776/3553/109/6714/5588/107/255189/5601/3710/3556/5321/3479/805/113/59341/5602/1573/8398/1432/3358/5332/623/196883/5734/3554/3709/162514/5291/5600/5499/163688/3708/5580/5336/5290/5581/51393/123745/5608/91860/283748/79054/23236/8605/5330/5295/4803",55
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","55/3293","99/8546",0.555555555555556,1.44177885750919,3.5004145180274,0.000409473834845288,0.00302758340440082,0.00189567381945242,"5880/5154/56034/56994/8611/8503/1606/10000/56261/80736/1950/1119/1956/5337/8612/9468/3091/10810/255189/1607/5601/5321/5594/7249/160851/8525/5602/5130/5604/5159/5879/5155/8527/204962/5291/1609/5900/23446/8613/5290/6654/1120/1608/123745/6583/126969/5338/5881/283748/6581/6584/8605/5295/6655/7454",55
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","61/3293","112/8546",0.544642857142857,1.41345820137955,3.48716118933951,0.000417597710951838,0.00302758340440082,0.00189567381945242,"3918/3716/5603/2771/3912/7042/958/3655/3909/10000/7040/3914/3688/7132/6885/2773/3949/5601/7099/3460/284217/5594/10319/330/3112/5602/1432/3588/23533/3908/3911/3910/3115/7097/7124/4790/3459/2770/1147/3109/836/598/572/329/5600/4615/23643/7189/54205/4793/10105/8651/23118/3123/5608/7043/3108/3119/3305/3111/3915",61
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","89/3293","174/8546",0.511494252873563,1.32743087915502,3.45483926640506,0.00042821039961977,0.0030411677360751,0.00190417943547352,"8061/4088/5880/5567/4163/7476/5331/7480/83439/8322/144165/5176/5530/1499/25805/22943/64840/6422/55366/8313/6907/6932/6259/1459/56998/4007/894/6885/4920/5601/7090/8945/81029/387/1488/23401/57216/79816/164284/1454/11211/5602/23291/54894/5879/7477/8326/5332/85409/7157/7473/7474/8323/7089/7088/1501/85407/166336/1457/7091/27130/440193/5534/7479/84445/4089/8321/9475/4316/81839/27123/10023/8312/5467/5535/2932/4776/7855/6934/4919/5881/147495/896/8324/8325/283106/23236/4773/5330",89
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","102/3293","204/8546",0.5,1.29760097175828,3.40614031332394,0.000493326311713521,0.0034335511295261,0.00214986413736208,"6850/3716/1021/355/5603/3105/7128/8503/956/23586/5925/7431/958/3133/6891/3383/10000/4794/3107/960/4734/317/5971/5610/3134/8717/894/6885/1647/8900/5601/4940/4939/4791/6890/3135/578/10018/581/3112/5708/8737/4616/6892/5602/3106/1432/1027/5879/3569/3115/7097/7124/4790/7157/3516/3455/1147/3109/1643/567/637/836/1026/965/10912/1380/29110/5291/1870/5600/4615/11047/1869/2923/7189/54205/5336/10213/5290/4793/3661/3683/9636/4938/23118/10379/3123/5608/953/3108/864/3718/3119/896/4067/3111/5295/29760/3280/7188/9134",102
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","99/3293","198/8546",0.5,1.29760097175828,3.35447004781066,0.000592849677188055,0.00403280223182915,0.00252507580758812,"4233/861/7048/5154/2118/5327/3205/2119/5371/1050/7113/85414/958/8091/5468/860/4298/7403/64919/6760/3728/7849/8938/7704/5328/3576/2308/3398/7490/4804/894/604/1647/8900/2313/6495/3479/2115/1437/5090/578/1848/55589/7185/79058/330/581/2005/597/4616/9915/1027/26039/64332/4094/3569/4790/7157/5747/1031/3020/2530/1643/2120/4291/5914/4318/84444/1026/6935/3248/10912/598/329/1051/3021/7102/7030/8464/3207/942/3560/54738/7850/6692/2078/3480/3695/6929/440093/333932/126961/5966/171558/1436/51513/929/51274/4286",99
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","54/3293","98/8546",0.551020408163265,1.43000923418259,3.38970626168083,0.000602602632342286,0.00403280223182915,0.00252507580758812,"4824/367/5154/7039/5327/148327/56034/2950/2119/8503/7113/5925/83439/10000/1499/1950/1956/2263/6932/5328/2308/10488/3479/5594/9586/5604/1027/5159/5155/7184/4790/7157/1147/4318/1026/6935/572/5291/1870/1869/5290/6654/64764/2932/7850/354/90993/6692/6934/2078/3480/5295/6655/9134",54
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","44/3293","77/8546",0.571428571428571,1.48297253915231,3.37054347277958,0.000678840490367362,0.00445729227637438,0.0027908635850257,"861/4088/7048/1021/8503/7042/5925/10000/7040/2122/6464/1647/1399/613/1488/578/5594/581/4616/5604/1027/867/4790/7157/1398/7046/399694/1147/1643/1026/10912/598/572/5291/1870/1869/4089/5290/6654/7043/25/5295/6655/1029",44
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","57/3293","105/8546",0.542857142857143,1.4088239121947,3.33719963741588,0.000709805152112201,0.00457429986916752,0.00286412605238257,"3675/7169/3696/3691/5567/4000/3673/3693/7171/7042/60/71/3694/1756/3655/6262/7040/3688/4842/3678/6546/6640/8910/9254/109/776/107/3676/782/3479/488/183/284217/113/8082/3672/27092/7170/3908/7124/783/781/196883/3685/1837/55799/7139/7043/6645/22801/3695/7134/487/6443/7137/489/3690",57
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","81/3293","159/8546",0.509433962264151,1.32208400896126,3.24573158942927,0.000889571859190104,0.00562856376360284,0.00352423683927946,"3916/155066/3105/3673/3693/7058/11151/1781/9902/60/71/7057/3133/6891/84617/113457/3107/3688/4842/1535/3678/729238/10333/64581/3134/821/718/22925/4074/10381/7099/10312/6890/5289/3135/4688/112714/9341/7879/3112/90423/3106/1520/5879/10382/3115/5868/7097/7846/523/3109/9146/81035/3685/7280/347733/8417/9296/1783/79861/3123/83547/3108/949/8411/533/3119/84790/527/653509/79659/260334/124908013/124908015/124908041/51382/3111/245973/929/3690/51807",81
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","80/3293","157/8546",0.509554140127389,1.3223958947855,3.22799185771286,0.000945571369281325,0.00587605065196252,0.00367919686919613,"678/810/4088/7048/2113/1021/5603/3105/8503/7042/824/5925/3133/823/10000/5530/1030/10758/5054/7040/3107/3552/3576/776/90550/2308/3134/894/677/22800/1647/8900/3710/6237/805/8945/983/3135/5594/7249/59341/4616/23291/5604/3106/1432/291/3569/4790/7157/1874/7046/5928/1026/4087/10912/3709/5291/1870/5600/5499/5534/163688/3708/1869/5290/5535/5608/7043/4776/22808/91860/286826/85417/896/2305/4773/5295/1029/9134",80
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","101/3293","205/8546",0.492682926829268,1.27861168924474,3.19679952378496,0.0010017519413929,0.00606823811549968,0.00379953203239091,"4088/5880/7048/25874/5603/8503/3667/5331/6513/4710/7042/3643/4313/6262/10000/7040/1535/2597/5601/4716/2936/1537/488/183/5165/5162/170712/4688/506/7388/51660/4720/5602/27089/1350/1432/4701/291/5879/4706/2539/4707/5332/142/1509/4790/7046/4698/4723/4695/1349/1345/4697/5524/4318/1329/4731/9945/4087/7385/4694/1376/4714/5291/5600/5499/6389/4696/7386/1277/5164/5580/5290/2997/440567/515/10105/177/1340/2932/4722/522/7043/9377/125965/54539/4718/487/5465/7137/4725/489/23236/5330/6517/4702/5295/1636/1278/4846/1375",101
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","15/3293","20/8546",0.75,1.94640145763741,3.3547945798046,0.00101137301924995,0.00606823811549968,0.00379953203239091,"6713/1594/6307/3988/1595/7108/1591/2222/4047/1717/50814/6309/10682/1056/120227",15
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","121/3293","252/8546",0.48015873015873,1.24610886970438,3.1397402408744,0.00117008523106495,0.00679983638801898,0.00425761080556543,"857/858/4088/408/7048/56288/64411/10938/10109/3105/5371/3800/30846/9525/84552/11031/30844/3133/23624/10097/6011/10095/3107/55737/23111/51100/4734/1956/50807/5337/1212/57154/2263/58533/51652/2869/1213/6714/3134/116984/56904/274/3949/2352/83737/64750/57180/387/30011/3135/29082/7879/50855/26056/51028/8853/409/116985/5119/3106/55040/998/8723/64744/10094/27131/5868/6643/867/89853/9922/7046/84440/9146/23550/57403/5662/28964/4087/9559/9897/10617/58513/138429/832/57132/79720/5867/27243/156/10096/8976/1601/7189/382/84364/116983/6456/55680/128866/5584/8218/3560/10093/92421/414189/9765/8411/3579/3480/26052/5338/2264/729092/868/23096/119016/3305/7456/23325/116986",121
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","40/3293","70/8546",0.571428571428571,1.48297253915231,3.21235980278836,0.0011723855841412,0.00679983638801898,0.00425761080556543,"4233/5058/2034/2113/7039/56924/106821730/8503/6513/7042/10000/7040/112398/5908/10298/3091/5062/112399/1399/5594/2549/9915/5604/998/5879/5155/1398/1026/2271/572/5291/201163/7422/7030/54583/5290/6654/7043/5295/6655",40
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","76/3293","149/8546",0.51006711409396,1.32372716582052,3.1561555651048,0.00120731661800178,0.00688764234532162,0.00431258912728849,"6850/5154/56034/8611/4254/8503/5331/3643/1606/5737/8877/10000/1902/1950/57121/1956/5337/6464/8612/109/2534/3576/107/5899/10555/22800/10411/10161/255189/1607/6237/5321/5898/56895/387/183/113/5594/7249/160851/8525/2549/5604/5159/23533/5155/5332/399694/2149/196883/8527/2768/5291/10672/1609/5900/11069/5336/382/8613/5290/6654/1608/123745/22808/2912/3579/26052/5338/283748/55326/23236/8605/5330/5295/6655",76
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","104/3293","213/8546",0.488262910798122,1.26714085505033,3.12591828576963,0.00125502462218918,0.00704433175035218,0.00441069773842378,"810/5058/5880/340061/27350/56924/106821730/355/5603/3105/60489/2771/5829/8503/3133/6891/10000/5530/2776/3107/115004/55970/2791/7132/3134/8717/10298/6885/5062/1399/2773/5601/3710/1642/7099/805/8945/162/3985/6890/983/3135/578/5594/10681/581/8737/2788/6892/5602/23291/5604/3106/1432/25939/2787/5879/7097/7124/4790/1398/2770/5747/1147/567/995/637/836/598/3709/572/2784/29110/54331/5291/130340/5600/4615/5534/163688/3708/2923/7189/54205/5336/5290/51764/2786/3661/5535/23118/1072/85363/5608/2790/4776/91860/5881/85417/684/4773/5295/9582/7188",104
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","108/3293","224/8546",0.482142857142857,1.25125807990977,3.01702138512722,0.00176274236996959,0.00973705309126058,0.0060967029337294,"8061/4088/7048/5567/3716/2113/148327/3105/8503/6513/2114/7042/5925/958/3133/3383/10000/5530/1030/7040/3107/8881/1388/2224/5971/109/7094/7132/3134/107/894/821/8900/1739/5601/10488/4791/1437/706/8829/3135/2648/113/7015/5594/581/3112/9586/2005/5602/5604/3106/7538/291/3569/3115/7124/4790/7157/7046/1031/1147/3109/196883/55697/567/51433/1026/4487/4087/3554/598/5291/1870/6722/5534/1869/4089/4055/4316/5290/29882/5535/64764/3683/3560/3123/7850/90993/7043/3600/3108/4776/9519/10393/3718/3119/6929/8379/896/4488/1958/3111/4773/5295/1029/2874/9134",108
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","60/3293","115/8546",0.521739130434783,1.35401840531298,3.02610097491639,0.00191163162920286,0.0103944969837906,0.00650835110600317,"4323/408/5567/27347/148327/1594/2771/9935/5331/9138/2776/860/65267/1388/1956/5337/2625/65268/109/5744/7421/107/6446/4324/65266/1839/1591/2773/3710/10488/142680/387/113/9368/9943/5594/4326/9586/409/5604/5332/2770/196883/1026/2768/9826/4325/3709/10672/3708/5745/64764/90993/3727/5338/10893/1958/4322/23236/5330",60
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","37/3293","65/8546",0.569230769230769,1.47726879861711,3.05804863802518,0.0019449649850037,0.0104130433043275,0.00651996359345369,"501/9388/8611/231/1606/26007/8612/84649/11343/10555/1607/80168/56895/10327/160851/119548/8525/80339/84513/4023/57016/8527/5406/132158/1609/154141/223/129642/8613/150763/128966744/1608/55326/1056/2710/57678/84803",37
"Cellular Processes","Cell motility","hsa04814","Motor proteins","96/3293","197/8546",0.487309644670051,1.26466693694208,2.97552615607917,0.00204462540216489,0.0107807521205058,0.00675019869614247,"3801/7169/4430/4643/4627/3800/7171/1781/60/71/84617/113457/103910/63971/79784/10627/4651/55083/126820/3797/147700/4646/10398/10381/51626/146439/112714/3831/399687/8701/7170/55614/140469/59/1767/10382/1769/7846/51164/6993/4645/1639/4650/547/79819/84516/4642/4644/80022/832/83544/1770/23095/7280/347733/3835/7138/9493/4637/196385/25981/7283/1783/7802/79861/51174/7139/7135/6990/4647/7134/55605/84790/23026/84376/221458/374654/7137/79659/1768/4636/7136/27019/4649/260334/124908013/124908015/124908041/56171/90990/4629/4621/81930/57576/22989/51807",96
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","104/3293","216/8546",0.481481481481481,1.24954167650797,2.941004316061,0.00224417070432211,0.0115434610719127,0.00722775693250432,"810/355/5603/8503/5331/30001/19/9138/958/3383/10000/5468/5530/3606/5908/1535/5452/834/317/4312/3553/10333/7132/3576/6714/57534/6885/3949/839/5601/2920/7099/805/2921/387/2919/4688/5594/581/5602/1573/1432/7410/114548/998/5879/3569/7184/5332/7097/7124/4790/7157/114609/8797/5747/1147/8795/4780/10010/29108/4318/637/836/3309/148022/8743/598/572/29110/5291/5600/4615/5534/163688/3708/9475/10451/22926/23643/7189/54205/5290/7436/3661/5535/177/23118/1559/2932/5608/3329/91860/25833/4067/3305/23236/4773/5330/929/5295/142678/4846/3306",104
"Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","15/3293","21/8546",0.714285714285714,1.85371567394039,3.10115809620085,0.00227976977642069,0.0115434610719127,0.00722775693250432,"51363/29940/126792/9469/50515/64131/64132/92126/79586/54480/56548/10090/22856/55790/55454",15
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","57/3293","109/8546",0.522935779816514,1.35712395211416,2.97088883728611,0.00228878969529304,0.0115434610719127,0.00722775693250432,"5836/148327/8503/3667/6513/11001/3643/8660/10000/32/5770/7132/2308/10998/5588/9021/51085/5507/5601/10488/376497/183/90673/6195/9586/51422/5564/5602/3569/27330/7124/4790/1374/5524/9945/5291/5499/5580/5290/2997/28965/5581/10891/64764/133522/5834/2932/90993/57761/5565/6197/5465/6517/5295/5837/4846/1375",57
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","60/3293","116/8546",0.517241379310345,1.34234583285339,2.93919534839961,0.00249231897816408,0.0123903857771586,0.0077580455410521,"5567/9454/2771/5331/116443/27165/5530/2776/5337/55970/2791/109/776/107/255189/2773/3710/5321/113/5594/10681/2788/2787/2902/85358/5332/2770/2744/2752/7220/196883/9455/6507/3709/2784/2905/54331/23154/54407/5534/3708/156/2901/51764/2786/5535/123745/116444/2790/2912/5338/283748/6506/1742/81539/23236/8605/5330/2890/2906",60
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","39/3293","70/8546",0.557142857142857,1.44589822567351,2.96577014254737,0.00253865247940506,0.0124429727159572,0.00779097202723274,"857/5880/3105/60/71/958/3133/1756/3383/3107/4842/6640/8910/2534/3134/3135/284217/8082/3112/27/3106/3908/5879/3115/3109/637/836/1837/54205/942/3683/3123/3108/6645/3119/5881/25/6443/3111",39
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","78/3293","157/8546",0.496815286624204,1.28933599741587,2.89697933164762,0.0026914512015242,0.0130086808073669,0.0081451812677706,"355/5603/8503/1050/3667/4710/3643/8660/10000/5468/7040/3552/2931/3570/3553/7132/3953/3576/9021/51085/79602/5601/83737/4716/1537/170712/10018/7388/581/51422/5564/4720/5602/27089/1350/1432/998/4701/5879/4706/3569/4707/7124/4790/4698/4723/4695/1349/1345/4697/637/836/1329/4731/7385/4694/4714/5291/5600/6389/4696/7386/54205/5290/440567/1340/2932/4722/9377/3952/125965/54539/4718/5565/5465/4725/4702/5295",78
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","49/3293","92/8546",0.532608695652174,1.38222712209034,2.91831717388587,0.00277077943126782,0.0132086471517973,0.00827038705511807,"2982/5567/5154/56034/2771/2983/5331/84617/113457/2776/1902/1950/1956/109/6714/107/2773/3710/2697/10381/983/113/5594/112714/5604/5159/3358/10382/5155/5332/2770/7846/196883/3709/7280/3708/347733/6654/79861/5593/84790/260334/124908013/124908015/124908041/23236/5330/6655/51807",49
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","70/3293","139/8546",0.503597122302158,1.3069362305479,2.88857221972351,0.00281491915040701,0.0132377278965086,0.00828859550688835,"810/5567/7039/148327/3880/2771/8503/5331/9687/4313/10000/2776/25984/1388/3872/1956/3866/6464/3861/8648/109/6714/3860/107/1839/2773/3710/10488/805/2852/113/3868/5594/9586/5604/3885/7184/5332/1509/2770/399694/196883/5914/4318/3857/3709/3875/5291/163688/3765/3708/3881/5580/8202/2099/5290/6654/10499/64764/2550/90993/91860/3884/2288/3305/23236/5330/5295/6655/4846",70
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","52/3293","99/8546",0.525252525252525,1.36313637437233,2.87729440934208,0.00308860038861907,0.0143311058031925,0.00897319691851434,"6850/5058/5880/7408/10109/8611/8503/2934/10097/8877/10000/65108/10095/3635/50807/5337/8612/4651/10810/255189/274/1399/5321/3985/57180/5594/8853/5604/8398/7410/998/5879/10094/1398/5291/10096/10451/5580/5336/382/8613/5290/5581/1072/123745/10093/5338/283748/4067/8605/5295/7454",52
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","34/3293","60/8546",0.566666666666667,1.47061443465938,2.89626004906826,0.00323084229607548,0.0147938568293982,0.00926294120896986,"5880/5603/5829/8503/8877/10000/5530/6714/255189/5321/5594/5604/1432/998/5743/5879/5747/572/5291/5600/5534/7422/5336/5290/7867/5535/123745/5881/283748/9047/8605/4773/5295/4846",34
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","50/3293","95/8546",0.526315789473684,1.36589575974555,2.83931336606474,0.00348127317494865,0.0157335462971705,0.00985131301728462,"8061/5603/7128/10758/132014/6280/55540/4312/3553/3576/8717/6885/5601/6279/2920/3934/6374/2921/1437/6372/2919/6364/5594/5602/1432/257397/5743/3569/7184/7124/4790/1147/51433/4318/836/1440/29110/1051/5600/7189/23765/23118/2932/5596/3727/29761/84818/4322/7188/4586",50
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","70/3293","140/8546",0.5,1.29760097175828,2.8109418954653,0.00353980273683586,0.0157929660566523,0.0098885177668694,"810/4088/5567/5327/2771/3991/5331/5140/8877/6262/10000/2776/5054/182/4842/6546/55970/2791/109/107/22800/2773/3710/6237/81631/805/5289/113/5594/10681/51422/5564/2788/5604/23533/2787/59/5332/2770/7046/196883/4087/8862/3709/2784/54331/10672/163688/3708/4089/6261/51764/2786/814/6548/5581/10891/84557/1490/2790/22808/91860/5565/1958/23236/5330/55811/10365/4846/6696",70
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","62/3293","122/8546",0.508196721311475,1.31887311883628,2.80858029347006,0.00364510430938196,0.0160569151856319,0.010053785370314,"5567/6567/8503/5331/6513/60/71/10000/1499/117247/1733/481/8648/2308/6714/113026/4851/3091/7067/29079/488/2648/5333/5594/5213/7249/5214/652/51196/5604/10231/5332/116931/7157/9442/9862/7068/1735/3685/572/84812/4853/5291/8202/9282/5336/2099/5290/10499/6548/478/5208/1827/2932/487/90390/4855/489/23236/5330/5295/3690",62
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","91/3293","189/8546",0.481481481481481,1.24954167650797,2.74660994345981,0.00408438127415208,0.0177670585425615,0.0111245647861774,"7205/3716/340061/7226/5585/5603/7128/79792/3428/5331/118429/63940/84674/2635/1508/3606/1535/834/3553/837/3576/90550/24145/6885/5601/3710/4940/81631/2920/4939/7099/2921/387/11035/4671/2919/22861/5594/330/8737/114769/5602/115361/1432/2633/257397/114548/3569/5332/7124/4790/3455/79671/9051/1147/7158/10910/11337/10010/29108/7295/148022/598/3709/329/29110/5600/4615/3708/5027/5580/7189/10135/4793/3661/84168/91662/8767/4938/84557/51393/23118/10379/10392/10616/22900/64170/23236/5330/820/7188",91
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","71/3293","143/8546",0.496503496503497,1.28852683908864,2.75476942016102,0.00415445712089242,0.0178487787416119,0.0111757326059094,"2274/6850/140885/8061/7048/3716/5603/8503/7042/54/10000/5468/5530/7040/3552/2355/1535/5971/3553/7132/2534/9021/6885/5601/3710/1435/3726/4791/3460/488/4688/5594/5602/5604/10326/1432/54209/5879/7124/4790/3459/3455/7046/1147/3554/3709/5291/5600/5534/3708/8792/7189/5336/5290/814/1540/8651/5535/23118/10379/5608/3727/7006/487/1436/489/4773/5295/29760/4286/3690",71
"Human Diseases","Cancer: specific types","hsa05214","Glioma","41/3293","76/8546",0.539473684210526,1.40004315373919,2.77344866561862,0.0043956234202296,0.0186545969541451,0.0116802830293649,"810/5154/7039/1021/8503/5925/10000/1950/1956/6464/8536/1647/3479/805/578/5594/581/4616/5604/5159/5155/7157/399694/1643/1026/10912/5291/1870/163688/1869/5336/5290/6654/814/57118/91860/3480/5295/6655/1029/57172",41
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","54/3293","105/8546",0.514285714285714,1.33467528523708,2.73192982902954,0.00466376013460782,0.0195540786366689,0.0122434793641575,"6850/810/5058/5603/8503/3659/10000/5530/1263/834/5971/3553/64581/6714/22800/5601/3710/6237/8915/805/4791/387/5594/5602/1432/114548/5743/3569/7124/4790/1147/29108/3709/5291/5600/5534/163688/3708/5580/5336/5290/1540/5535/10379/51561/4776/22808/91860/868/1960/64170/602/4773/5295",54
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","51/3293","99/8546",0.515151515151515,1.33692221332671,2.66958770644697,0.00561540364866397,0.0232638151158936,0.0145662726224742,"5567/5603/8503/28514/5925/4313/10000/182/1956/6464/109/6714/107/4851/1839/5601/3479/2852/113/5594/10683/581/10498/5602/5604/1432/1027/7157/5747/1031/399694/196883/4318/1026/572/4853/5291/1870/5600/1869/8202/2099/5290/6654/3480/4855/5295/6655/638/1029/8647",51
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","40/3293","75/8546",0.533333333333333,1.38410770320883,2.64523649767816,0.00631369317440242,0.0258490026434358,0.0161849472086849,"119391/2067/355/2950/8503/9446/10000/317/2946/2948/578/5594/330/581/5366/4259/7157/4436/2947/637/836/1026/5429/598/572/329/4258/5291/7507/2938/2939/54205/5290/2944/1317/4437/2956/1244/5295/1029",40
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","34/3293","62/8546",0.548387096774194,1.42317525934779,2.64767077886168,0.00650839992232366,0.0263363159647515,0.0164900707946267,"84441/28514/23220/55534/182/6868/4851/7090/83737/196403/1488/2648/10683/4242/79816/3516/113878/7089/51107/7088/4853/7091/8650/5664/83464/342371/5986/3955/441478/6310/4855/171558/23013/3280",34
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","25/3293","43/8546",0.581395348837209,1.50883833925381,2.64835477652839,0.00702817186321065,0.0280964797508272,0.0175921697169426,"2182/501/36/33/2180/35/128/39/38/1632/126/10455/1892/1374/34/1376/223/23205/126129/23305/2181/2639/10449/130/1375",25
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","38/3293","71/8546",0.535211267605634,1.3889813218821,2.60577112490439,0.00710485694848504,0.0280964797508272,0.0175921697169426,"4233/5058/155066/5603/1956/6868/5803/3576/6714/1839/5601/2920/2921/10312/2919/150084/50848/90423/5602/1432/998/5879/102/4790/523/1147/836/28964/5600/5336/9296/10392/533/3579/527/4067/51382/245973",38
