"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000104812",3163.66733562069,0.942421234231458,0.246216451676229,2.7765363033825e-05,0.000105200912234257
"ENSG00000150779",1531.93443278148,-0.962778008960154,0.252247347382418,2.79194134534024e-05,0.000105750752253433
"ENSG00000150756",547.930651589641,-0.801278636578637,0.205623157675593,2.79187690880167e-05,0.000105750752253433
"ENSG00000149499",909.848713585586,0.865969727208485,0.224160968936473,2.79351102995287e-05,0.000105793283199287
"ENSG00000188107",23.7725945062414,4.39613820614449,1.213455304,2.79648117564739e-05,0.000105888829035348
"ENSG00000111254",32.8822991335738,2.17537990313367,0.646367237549255,2.80309425511353e-05,0.000106088335483253
"ENSG00000112419",889.030234883063,0.618755128460584,0.154742021366766,2.81125926689353e-05,0.000106380351066387
"ENSG00000106077",873.636869619055,-1.13899779321511,0.304797921886372,2.81680869342975e-05,0.000106573313253973
"ENSG00000187037",16.9491333510672,6.44840940588899,1.75563935699986,2.82776507678783e-05,0.000106970752073982
"ENSG00000167280",687.075008097713,-0.709255579740912,0.179883085878532,2.85108296320762e-05,0.000107835609137168
"ENSG00000119514",59.6576227149985,3.17273725399098,0.929679451676278,2.85476179078102e-05,0.000107957506660792
"ENSG00000157020",3908.61543044598,0.600841762180304,0.15005204908427,2.86821973574251e-05,0.00010844911958348
"ENSG00000113396",47.1855804483114,-3.47461390299593,1.00286156735771,2.87247980784185e-05,0.00010859285392028
"ENSG00000127337",704.639324911406,-0.712522488474316,0.180970322870115,2.8963167511539e-05,0.000109459045039219
"ENSG00000122778",594.801696898305,-1.06052643687259,0.281757715788636,2.89595349378798e-05,0.000109459045039219
"ENSG00000229637",178.379498110408,-0.884236782057547,0.229995113645251,2.90422754887286e-05,0.000109740497406101
"ENSG00000126432",5564.66971107725,0.698587992662393,0.177150020036449,2.91757500029811e-05,0.000110209673391925
"ENSG00000099810",2017.01615431921,1.34634565830967,0.370148276260457,2.91823434070201e-05,0.000110216995509334
"ENSG00000184470",1078.23642846241,-0.991324191185894,0.261410201307419,2.92559811709291e-05,0.000110477490619472
"ENSG00000261474",30.8385568685779,-2.01252212400392,0.59466477368787,2.92858769640646e-05,0.000110572748983919
"ENSG00000235527",8.88733602457704,-5.99581953938844,1.62887118098974,2.9309286337235e-05,0.000110643490530407
"ENSG00000216285",802.342035243223,0.913497653318022,0.238684663404017,2.94119514741819e-05,0.000111013354862778
"ENSG00000107295",16.5557640859561,-4.78654311125995,1.31232727379094,2.94796822267387e-05,0.000111251264915922
"ENSG00000269982",80.1887240102664,-1.12519727496714,0.30155802006392,2.94894779504958e-05,0.000111270497120938
"ENSG00000232386",9.04655029713365,5.78791291564875,1.57177054075825,2.95254416719742e-05,0.000111388445262481
"ENSG00000250182",1252.23571335085,0.774204793685376,0.198639445275788,2.95815724749055e-05,0.000111582426555415
"ENSG00000213401",1023.73908020517,-7.17075211297975,1.99430751203219,2.96612465800675e-05,0.000111865137826738
"ENSG00000197568",239.793602420722,-1.01636285948436,0.269091884028731,2.97234198721778e-05,0.000112075368140736
"ENSG00000248213",35.9387839900601,-2.58935653447488,0.7770994605702,2.97264565580022e-05,0.000112075368140736
"ENSG00000005073",165.941916074916,3.2518800920958,0.952568164255897,2.98152771535689e-05,0.000112392344716614
"ENSG00000183307",13.1103572512794,-4.95361393340734,1.35497155745775,2.98699735458263e-05,0.000112580605483051
"ENSG00000166801",2269.16263965706,-0.811696993688602,0.209533338074776,3.0007062382833e-05,0.000113079295883867
"ENSG00000138617",274.908613418609,-1.07860707937017,0.287901947377828,3.00925317351789e-05,0.000113365294175629
"ENSG00000166451",1611.44314553806,-1.04258043494697,0.277111594704535,3.00879119651889e-05,0.000113365294175629
"ENSG00000142230",3919.87898457267,0.780219451679525,0.20058483531224,3.01405511300601e-05,0.000113492457507561
"ENSG00000272942",8.23755446596788,-5.91404799539766,1.6098250403188,3.01406670104973e-05,0.000113492457507561
"ENSG00000113621",1101.54880337588,-0.667952088703945,0.168950861879468,3.01313524169578e-05,0.000113492457507561
"ENSG00000105607",878.233939109141,-0.840491505355875,0.217884073805791,3.01585499943454e-05,0.000113541737671508
"ENSG00000127588",21.4852073821074,-4.37184324867216,1.21595681266109,3.02303706353452e-05,0.000113794035855814
"ENSG00000232546",8.16510112015732,-5.90913382480554,1.60913752640346,3.02863265674091e-05,0.000113986544927125
"ENSG00000168152",141.702966707922,-0.993639144131802,0.262729723030271,3.03600224460027e-05,0.0001142457488007
"ENSG00000143375",1601.15471374262,-1.84615442242017,0.539906147525543,3.05618001722644e-05,0.000114986769852011
"ENSG00000247011",14.8340081276409,-4.6376088218254,1.28047244338556,3.05966855298115e-05,0.000115099733601739
"ENSG00000135477",12.4645833866813,6.12569870278018,1.67285619117163,3.06714968689308e-05,0.000115362832623618
"ENSG00000247735",54.9242090644047,-2.41831465020225,0.728263006948991,3.07644574674366e-05,0.000115694100930193
"ENSG00000104825",554.224829566466,1.03812310840935,0.276226438334653,3.08257827489533e-05,0.000115906313823562
"ENSG00000233954",382.095683235914,-0.972255381680055,0.256745674353416,3.096836042981e-05,0.000116368492286401
"ENSG00000140688",2370.97581107628,-0.723237787037494,0.184731826314533,3.09656873827985e-05,0.000116368492286401
"ENSG00000177200",1568.46765263621,1.15679737769712,0.312208587332148,3.0962994785724e-05,0.000116368492286401
"ENSG00000107738",569.527063737782,6.80410676814269,1.88160980970168,3.10081776619945e-05,0.000116499622739296
"ENSG00000128524",2754.08138480466,-0.670844966747945,0.17006481504272,3.1053027115419e-05,0.000116649614947133
"ENSG00000104524",1276.70916555613,-1.22848730222431,0.334483006694572,3.11035676377274e-05,0.000116820934479453
"ENSG00000271133",9.33380813986107,5.81607151267306,1.58816904588494,3.1378429747582e-05,0.000117834588601665
"ENSG00000167775",1761.75831873779,-1.11643567701138,0.300290907357921,3.15691597006446e-05,0.000118521134438301
"ENSG00000152818",4101.13391435484,-1.20389966513179,0.327172148737902,3.15712630359574e-05,0.000118521134438301
"ENSG00000134755",1616.827705897,1.1065180083827,0.297328976361465,3.16499538900308e-05,0.000118797710566623
"ENSG00000204130",603.933751232848,0.955651522957737,0.252241429005334,3.17163453918087e-05,0.000119028040868894
"ENSG00000138769",23.1186181659641,4.28379613767448,1.20078435202715,3.18474629512476e-05,0.000119501169619127
