gene_id,SRR2085160,SRR2085161,SRR2085162,SRR2085163,SRR2085164,SRR2085165
ENSG00000127054,2537,4334,3928,3735,3455,3143
ENSG00000162576,426,771,900,177,372,199
ENSG00000175756,2199,3858,2949,3792,1542,2566
ENSG00000221978,2317,3942,3721,2692,4921,3432
ENSG00000224870,891,1060,1161,681,591,643
ENSG00000235098,45,134,68,1016,303,792
ENSG00000225905,0,7,5,7,0,6
ENSG00000205116,0,0,0,0,0,1
ENSG00000225285,44,87,52,5,0,0
ENSG00000179403,862,1878,1163,2254,1068,1914
ENSG00000197785,1783,3081,2364,3577,1648,2621
ENSG00000205090,0,8,0,0,0,0
ENSG00000236684,0,0,0,0,0,0
ENSG00000197530,360,877,686,362,567,388
ENSG00000189409,3,3,5,11,0,2
ENSG00000248333,1192,2011,1817,2052,1211,1453
ENSG00000215914,0,0,5,10,0,4
ENSG00000008128,941,1393,1624,1524,965,1230
ENSG00000215790,177,483,404,93,147,108
ENSG00000227775,199,355,367,120,190,134
ENSG00000008130,2798,3628,3393,1982,2018,1772
ENSG00000169885,15,62,68,5,3,6
ENSG00000178821,624,804,589,14,16,16
ENSG00000142609,0,0,6,0,0,0
ENSG00000176022,1230,1756,1424,558,408,433
ENSG00000260179,21,9,23,16,8,11
ENSG00000230415,29,47,42,0,0,4
ENSG00000131584,1123,2787,2525,637,1199,1010
ENSG00000240731,78,82,140,40,62,50
ENSG00000224051,1121,1873,1338,995,902,969
ENSG00000169962,43,116,106,19,43,11
ENSG00000107404,1762,3873,2479,3825,4600,3042
ENSG00000223663,2,0,2,0,3,0
ENSG00000242485,2941,4179,4417,3518,1618,2419
ENSG00000264293,1,1,1,1,1,1
ENSG00000272455,74,127,168,156,136,109
ENSG00000215915,144,191,229,201,135,162
ENSG00000160072,1509,2699,2522,3389,1739,2814
ENSG00000160075,3996,5155,4380,4627,3144,2875
ENSG00000215791,9,10,6,41,20,18
ENSG00000215014,20,53,49,9,14,2
ENSG00000228594,1846,2673,2418,201,247,188
ENSG00000272106,230,255,230,50,66,46
ENSG00000272004,3,2,2,0,0,0
ENSG00000189339,3170,5760,5054,1128,1428,1274
ENSG00000269737,21,107,78,6,23,19
ENSG00000269227,11,25,25,1,21,5
ENSG00000268575,438,1048,926,190,302,148
ENSG00000078369,10465,14870,14150,19281,22042,17063
ENSG00000231050,33,34,34,5,6,0
ENSG00000131697,479,905,754,443,804,516
ENSG00000266687,0,0,0,0,0,2
ENSG00000069424,495,683,576,39,133,26
ENSG00000268332,0,0,0,0,0,0
ENSG00000225077,9,30,33,6,5,13
ENSG00000158292,42,43,20,2995,4619,3053
ENSG00000069812,150,212,81,6559,5789,5722
ENSG00000097021,1130,1842,1568,8170,7253,6157
ENSG00000271746,1,1,1,1,1,0
ENSG00000116251,6246,8875,9629,15053,11987,11406
ENSG00000158286,311,535,482,440,670,733
ENSG00000116237,3114,3999,4444,6376,4175,4881
ENSG00000226944,6,5,18,0,5,2
ENSG00000265392,0,0,0,0,0,0
